Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Čertižné,"[49.36170633, 21.82293369]","Unnamed Road, 067 52 Čertižné, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",24 mins,1450,16.6 km,16634
Habura,"[49.33752686, 21.86881146]","Habura 287, 067 52 Habura, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",18 mins,1099,12.7 km,12703
Kalinov,"[49.33249641, 21.93308604]","Unnamed Road, 068 01 Kalinov, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",16 mins,935,5.1 km,5145
Krásny Brod,"[49.23981958, 21.90526577]","Krásny Brod 234, 068 01 Krásny Brod, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",13 mins,773,8.6 km,8552
Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",1 min,0,1 m,0
Ňagov,"[49.2582696, 21.94425191]","068 01 Ňagov, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",17 mins,1028,10.4 km,10383
Oľka,"[49.15264763, 21.84632442]","Oľka 159, 067 04 Oľka, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",39 mins,2339,35.1 km,35055
Oľšinkov,"[49.20491173, 22.04006108]","Unnamed Road, 067 16 Oľšinkov, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",28 mins,1663,21.3 km,21257
Palota,"[49.26733753, 22.00396053]","Unnamed Road, 068 01 Palota, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",10 mins,616,6.9 km,6901
Radvaň nad Laborcom,"[49.12684033, 21.91261208]","3862, 067 01 Radvaň nad Laborcom, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",27 mins,1647,24.3 km,24322
Repejov,"[49.200125, 21.82426985]","Repejov 6, 067 04 Repejov, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",32 mins,1943,29.1 km,29135
Roškovce,"[49.24573861, 21.84777388]","Roškovce 102, 067 02 Roškovce, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",23 mins,1369,14.4 km,14358
Sukov,"[49.22123433, 21.86855411]","067 02 Sukov, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",25 mins,1503,15.3 km,15290
Svetlice,"[49.17623844, 22.05645905]","Unnamed Road, 067 16 Svetlice, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",31 mins,1869,24.4 km,24389
Valentovce,"[49.1815097, 21.95605115]","Valentovce 45, 067 01 Valentovce, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",33 mins,2006,28.3 km,28333
Volica,"[49.15647826, 21.92199334]","Volica 145, 067 01 Volica, Slovakia",Medzilaborce,"[49.29684139, 21.92719889]","3868, 068 01 Medzilaborce-Vydraň, Slovakia",22 mins,1297,18.8 km,18848
